"","seq_number","sum.taxonomy"
"1","merged_CO1_8","Eukaryota;Arthropoda;Malacostraca;;Gonodactylidae;;"
"2","merged_CO1_573","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"3","merged_CO1_2010","Eukaryota;Arthropoda;Malacostraca;;Gonodactylidae;;"
"4","merged_CO1_2275","Eukaryota;Arthropoda;Malacostraca;;Gonodactylidae;Gonodactylus;"
"5","merged_CO1_2648","Eukaryota;Arthropoda;Malacostraca;;Gonodactylidae;;"
"6","merged_CO1_3374","Eukaryota;Arthropoda;Malacostraca;NA;NA;NA;Stomatopoda sp. LPdivOTU483"
"7","merged_CO1_3417","Eukaryota;Arthropoda;Malacostraca;NA;Squillidae;NA;Squillidae sp. PNG-0149"
"8","merged_CO1_3490","Eukaryota;Arthropoda;Malacostraca;;Gonodactylidae;;"
"9","merged_bio_12S_miu_8","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio caerulaurea"
"10","merged_bio_12S_elas_1","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"11","merged_bio_12S_elas_6","Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar"
"12","merged_bio_12S_elas_87","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Pomacentrus;Pomacentrus amboinensis"
"13","merged_bio_12S_elas_162","Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar"
